MID,DBA Name,VI/MC,AMEX,DISC,DEBIT,EBT,,VI/MC,AMEX,DISC,DEBIT,EBT
7641000030002459,SAND PEOPLE - 003        ,0.17,,0.17,0.05,,,0.15,0.1,0.15,0.14,
7641000030002474,QUSQO                    ,0.22,,0.22,0.22,,,0.13,0.13,0.13,,
7641000030002501,LONGEVITYHERBS.COM       ,1.93,0.37,1.93,1.93,,,0.23,0.12,0.23,,
7641000030002512,PIANO PLANET             ,0.22,,0.22,0.05,,,,0.13,0.13,0.18,
7641000030002576,LA JOLLA VILLAGE LODGE   ,0.41,0.41,0.41,0.41,,,0.13,0.12,0.13,,
7641000030002577,COAST VILLAGE INN        ,0.21,,0.21,0.21,,,0.11,0.12,0.11,,
7641000030002597,WAIKIKI FAMILY PRACTICE P,2.23,0.52,2.23,2.23,,,,0.08,0.08,,
7641000030002644,MY MECHANIC - OFF ROAD WE,1.88,1.88,1.88,0.05,,,0.23,0.23,0.23,0.07,
7641000030002671,CHRISTMASTOWN THOMAS KINK,0.17,0.17,0.17,0.17,,,0.23,0.13,0.23,,
7641000030002689,CALIFORNIA BEACH ROCK'N S,0.2,0.2,0.2,0.2,,,0.23,0.13,0.23,,
7641000030002723,PRESTIGIOUS AUTO BODY & P,0.06,0.06,0.06,,,,0.11,0.11,0.11,,
7641000030002739,JIM VREELAND FORD        ,0.12,0.12,0.12,0.12,,,,0.13,0.13,,
7641000030002753,SAND PEOPLE - 001        ,0.17,,0.17,0.05,,,0.17,0.12,0.17,0.14,
7641000030002754,SAND PEOPLE - 002        ,0.17,,0.17,0.05,,,0.15,0.12,0.15,0.14,
7641000030002755,SAND PEOPLE-004          ,0.17,,0.17,0.05,,,0.17,0.12,0.17,0.14,
7641000030002796,HACIENDA DE VEGA         ,0.1,,0.1,0.1,,,0.1,0.08,0.1,,
7641000030002833,THUNDER GRAPHICS & PRINTI,1.73,1.73,1.73,1.73,,,0.28,0.28,0.13,,
7641000030002838,THE FOUNDATION FOR GIRSH ,0.95,1,0.95,1,,,0.11,0.21,,,
7641000030002845,"AIM DONALD O. FAREED, MD ",1.02,1.09,1.02,,,,,,0.03,,
7641000030002857,KING & DUCK              ,0.32,0.32,0.32,0.32,,,0.23,0.23,0.23,,
7641000030002874,BOWMAN'S AUTO REPAIR     ,0.27,0.27,0.27,0.05,,,,0.13,0.13,0.14,
7641000030002894,PERFORMANCE FOOD CENTERS ,0.06,,0.06,0.06,,,0.08,0.13,0.08,,
7641000030002898,SAND PEOPLE - 005        ,0.17,,0.17,0.05,,,0.17,0.12,0.12,0.14,
7641000030002899,SAND PEOPLE - 008        ,0.17,,0.17,0.05,,,0.17,0.12,0.12,0.14,
7641000030002900,SAND KIDS-MAUI           ,0.17,,0.17,0.05,,,0.17,0.12,0.12,0.15,
7641000030002931,SAILBOARDS MAUI          ,0.15,0.15,0.15,0.15,,,0.11,0.08,0.08,,
7641000030002942,PACIFIC COAST DENTAL     ,0.37,0.37,0.37,0.37,,,0.11,0.08,0.11,,
7641000030003005,KING FREDERIK INN        ,0.1,0.1,0.1,0.1,,,0.13,0.08,0.13,,
7641000030003006,PEA SOUP ANDERSEN'S INN  ,0.1,0.1,0.1,0.1,,,0.13,0.08,0.13,,
7641000030003035,AYERS AUTOMOTIVE REPAIRS ,0.25,0.32,0.31,0.05,,,,0.12,0.12,0.07,
7641000030003044,LA BAMBA                 ,0.17,0.17,0.17,0.17,,,0.15,0.13,0.15,,
7641000030003058,HIC - MILILANI           ,0.12,0.12,0.12,0.05,,,0.13,0.12,0.13,0.11,
7641000030003095,SAN FRANCISCO MASSAGE SUP,0.17,0.17,0.17,0.17,,,0.23,0.23,0.23,,
7641000030003114,POTHOLDER                ,0.02,0.02,0.02,0.01,,,0.075,0.045,0.075,,
7641000030003122,HERBAN ESSENTIALS        ,0.22,0.22,0.22,0.22,,,0.11,0.13,0.11,,
7641000030003138,DEVYNN'S GARDEN          ,0.01,0.01,0.01,0.01,,,0.18,0.13,0.18,,
7641000030003139,DEVYNN'S GARDEN - SB     ,0.01,0.01,0.01,0.01,,,0.18,0.13,0.18,,
7641000030003140,DEVYNN'S GARDEN - LB     ,0.01,0.01,0.01,0.01,,,0.18,0.13,0.18,,
7641000030003171,"PACIFIC LANDSCAPE SUPPLY,",2.23,0.12,2.23,,,,0.23,0.23,0.13,,
7641000030003194,SALON U                  ,0.37,,0.37,0.37,,,0.16,0.12,0.12,,
7641000030003205,"CJ SERVICE & TOWING, INC.",2.39,2.39,2.39,2.39,,,0.28,0.28,0.12,,
7641000030003210,OCEANSIDE GYMNASTICS     ,0.17,,0.17,0.17,,,0.15,0.12,0.15,,
7641000030003213,M.E.N.D.                 ,1.93,1.93,1.93,1.93,,,0.28,0.28,0.28,,
7641000030003238,RESTAURANT KOI           ,0.02,0.02,0.02,0.02,,,0.13,0.11,0.11,,
7641000030003261,SEND IT PACKING          ,0.17,0.17,0.17,0.17,,,0.13,0.13,0.13,,
7641000030003305,STUTTGART MOTORS         ,0.22,0.22,0.22,0.22,,,0.13,0.11,0.13,,
7641000030003489,GRAND PRIX PERFORMANCE   ,0.07,,0.07,0.05,,,0.13,0.08,0.13,0.07,
7641000030003490,GRAND PRIX MOTORING      ,0.07,,0.07,0.05,,,0.13,0.08,0.13,0.12,
7641000030003492,GLOBAL PERFORMANCE AUTOMO,0.07,,0.07,0.05,,,0.13,0.08,0.13,0.12,
7641000030003529,LULU LUXE                ,0.09,0.09,0.09,0.09,,,0.13,0.13,0.12,,
7641000030003530,ALTA COFFEE CO INC       ,0.17,0.17,0.17,0.17,,,0.15,0.15,0.15,,
7641000030003632,UMBERTO                  ,0.17,0.17,0.17,0.01,,,0.13,0.13,0.13,0.43,
7641000030003651,ORIGINAL RED ONION       ,0.24,0.24,0.24,0.24,,,0.13,0.13,0.13,,
7641000030003672,"BEFITTING YOU, LLC       ",0.32,0.32,0.32,0.32,,,0.23,0.23,0.23,,
