MID,DBA Name,VI/MC,AMEX,DISC,DEBIT,EBT,,VI/MC,AMEX,DISC,DEBIT,EBT
7641110042401638,NILE A. SORENSON JR. DMD ,0.11,0.11,0.11,0.11,,,0.1,0.1,0.1,0.1,
7641110042401641,SPECIALTY DOORS & AUTOMA ,0.52,0.52,0.52,,,,0.13,0.08,0.08,,
7641110042401646,PORKY'S PIZZA            ,0.12,0.12,0.12,,,,0.1,0.12,0.1,,
7641110042401647,OHANA DOGGIE DAYCARE & BO,0.14,,0.14,,,,0.18,0.18,0.18,,
7641110042401665,BUSINESS RADIO LICENSING ,0.27,,0.27,,,,0.13,0.11,0.11,,
7641110042401690,STOLL ENGINE CO. COSTA ME,0.12,0.12,0.12,,,,0.11,0.08,0.08,,
7641110042401699,AUTOTECH MAUI            ,0.12,0.12,0.12,,,,0.08,0.08,0.08,,
7641110042401722,SANBORN'S                ,0.22,0.22,0.22,,,,0.21,0.21,0.21,,
7641110042401730,SB TROLLEY TOURS         ,0.22,0.22,0.22,,,,0.13,0.12,0.12,,
7641110042401732,SB TROLLEY CHARTERS      ,0.22,0.22,0.22,,,,0.13,0.12,0.12,,
7641110042401733,WHEEL FUN                ,0.22,0.22,0.22,,,,0.11,0.12,0.11,,
7641110042401742,HARDIN BUICK PONTIAC GMC ,0.03,,0.03,,,,0.07,0.07,0.07,,
7641110042401746,LUCE                     ,0.2,,0.2,,,,,0.08,,,
7641110042401759,ONCE UPON A PAGE         ,0.92,,0.92,0.02,,,0.13,0.08,,0.42,
7641110042401765,ISLAND ADVENTURES        ,0.1,0.1,0.1,,,,0.15,0.15,0.12,,
7641110042401810,HONDA WINDWARD - 1       ,0.05,,0.05,0.05,,,0.13,0.11,0.11,0.13,
7641110042401811,HONDA WINDWARD - 2       ,0.05,,0.05,0.05,,,0.13,0.11,0.11,0.13,
7641110042401812,HONDA WINDWARD - 3       ,0.05,,0.05,0.05,,,0.13,0.11,0.11,0.13,
7641110042401813,HONDA WINDWARD - 4       ,0.05,,0.05,0.05,,,0.13,0.11,0.11,0.13,
7641110042401814,SCHNEIDER AUTOHAUS       ,0.14,0.14,0.14,,,,0.095,0.095,0.095,,
7641110042401815,SHORELINE DENTAL         ,0.32,0.32,0.32,,,,0.13,0.13,0.13,,
7641110042401816,GARDEN GROVE KIA         ,0.03,0.03,0.03,,,,0.07,0.07,0.07,,
7641110042401818,LEMON GRASS VIETNAMESE & ,0.26,0.45,0.26,,,,0.03,0.13,0.03,,
7641110042401823,SAND PEOPLE - 006        ,0.17,,0.17,0.05,,,0.17,0.12,0.12,0.14,
7641110042401825,WAILEA WINE              ,0.12,0.12,0.12,,,,0.12,0.12,0.12,,
7641110042401828,"FABRIC MART, INC. - AIEA ",0.42,0.42,0.42,0.12,,,,,0.13,0.13,
7641110042401829,TRUTH CUSTOM DRUMS       ,0.37,0.37,0.37,,,,0.13,0.13,0.13,,
7641110042401831,PENINSULA MERCEDES       ,0.28,0.33,0.28,0.02,,,0.13,0.23,,0.13,
7641110042401832,JACK RINGER DDS          ,0.22,0.22,0.22,,,,,0.08,0.08,,
7641110042401833,"TOTAL FITNESS USA, INC.  ",0.1,0.1,0.1,,,,,0.12,0.12,,
7641110042401853,EXPRESSIONS FLORIST      ,0.41,,0.41,,,,0.25,0.08,0.08,,
7641110042401867,RETAIL HALEAKALA         ,0.09,0.09,0.09,,,,0.1,0.08,0.08,,
7641110042401877,ORANGE DENTAL GROUP      ,0.89,0.97,0.89,,,,0.03,0.08,0.03,,
7641110042401898,HAMLET INN               ,0.22,0.22,0.22,,,,0.11,0.13,0.11,,
7641110042401899,AGAVE INN                ,0.22,0.22,0.22,,,,0.11,0.13,0.13,,
7641110042401902,HONDA WINDWARD - 5       ,0.05,,0.05,0.05,,,0.13,0.11,0.11,0.13,
7641110042401916,DIGI.03-6420-2113        ,0.42,0.42,0.42,,,,0.13,0.13,0.13,,
7641110042401925,MAUI CRAFTS GUILD        ,0.32,0.32,0.32,,,,0.13,0.13,0.13,,
7641110042401930,LUCKY STONE              ,0.22,0.22,0.22,,,,0.11,0.11,0.11,,
7641110042401942,SERVPRO OF MENDOCINO COUN,0.37,,0.37,,,,0.13,0.08,0.13,,
7641110042401961,"R.E. BADGER & SON, INC.  ",0.32,,0.32,,,,0.11,0.21,,,
7641110042401964,16TH STREET GARAGE       ,0.24,0.24,0.24,0.12,,,,0.13,0.13,0.18,
7641110042401969,GREEN TECHNOLOGY         ,0.22,0.27,0.22,,,,0.08,0.18,0.08,,
7641110042401973,MAUI FLORAL INC.         ,0.27,0.27,0.27,,,,0.13,0.13,0.13,,
7641110042401993,GIFT BASKETS OVERSEAS    ,0.04,0.04,0.04,,,,0.08,0.08,0.08,,
7641110042401996,GEM MEATS & PRODUCE      ,0.15,,0.15,0.02,,,0.1,0.08,0.1,0.1,
7641110042402013,HAYASHIDA & ASSOCIATES PH,0.22,0.22,0.22,,,,0.13,0.13,0.13,,
7641110042402033,HANGOUT NETWORK          ,0.12,0.12,0.12,,,,0.13,0.22,0.13,,
7641110042402036,LARKSPUR RESTAURANT      ,0.1,0.1,0.1,,,,0.095,0.095,0.095,,
7641110042402047,HARBOR CUSTOM CANVAS     ,0.22,0.22,0.22,,,,0.11,0.11,0.11,,
7641110042402049,ROYAL HAWAIIAN RENTALS   ,0.27,0.27,0.27,,,,0.11,0.11,0.11,,
7641110042402063,KRISTIAN LUNDGREN-KOSZEGH,0.22,0.22,0.22,,,,0.13,0.13,0.13,,
7641110042402068,ALL PAWS                 ,0.37,0.37,0.37,,,,0.13,0.13,0.13,,
7641110042402075,FABRIC MART INC - KANEOHE,0.42,0.42,0.42,0.12,,,,,0.13,0.13,
7641110042402076,"FABRIC MART, INC. - HONOL",0.42,0.42,0.42,0.12,,,,,0.13,0.13,
7641110042402077,"FABRIC MART, INC. - KAHUL",0.42,0.42,0.42,0.12,,,,,0.13,0.13,
7641110042402080,YOUNG'S AUTOMOTIVE       ,0.53,0.61,0.53,,,,,0.08,0.03,,
7641110042402102,TANTALUM                 ,0.05,,0.05,,,,0.095,0.08,0.08,,
7641110042402105,SIERRA COLLEGE DENTAL PRA,0.69,0.74,0.69,,,,0.13,0.23,0.13,,
7641110042402114,PODNAH'S PIT BARBECUE    ,0.22,0.22,0.22,,,,0.1,0.1,0.1,,
7641110042402115,CASCADE COTTONS ONLINE   ,0.27,0.27,0.27,,,,0.12,0.12,0.12,,
7641110042402126,HSTE ACTIVITIES -ROSEWOOD,0.94,0.99,0.94,,,,0.18,0.12,,,
7641110042402130,RUSSELL'S                ,0.09,,0.09,,,,0.1,0.1,0.1,,
7641110042402139,BLUE DOLPHIN CHARTERS - A,0.1,0.1,0.1,,,,0.13,0.13,0.13,,
7641110042402153,DADIANA BEAUTYKEEPER.COM ,2.11,2.11,2.11,,,,,,0.23,,
7641110042402158,PASADENA YAMAHA          ,0.57,0.62,0.57,,,,0.13,0.23,0.13,,
7641110042402162,DENTISTRY OF PALO ALTO   ,0.27,0.27,0.27,,,,0.13,0.13,0.13,,
7641110042402169,ECONOMY HEATING AND AC   ,0.56,,0.56,,,,0.12,0.08,,,
7641110042402195,CLOCKTOWER INN           ,0.66,0.71,0.66,,,,0.09,0.08,,,
7641110042402212,DR. SEAN ROBERTSON DDS   ,1.33,1.33,1.33,,,,0.13,0.13,0.13,,
7641110042402213,ST. JOSEPH'S CATHOLIC CHU,0.2,0.25,0.2,,,,0.11,0.18,0.08,,
7641110042402234,YOUNG'S AUTOMOTIVE SERVIC,0.73,,0.73,,,,0.13,0.13,0.03,,
7641110042402243,D'ANGELO BREAD           ,0.09,0.09,0.09,,,,0.135,0.11,0.11,,
7641110042402250,BRIDGES CONSTRUCTION     ,0.37,,0.37,,,,0.13,0.08,0.13,,
7641110042402251,GRAIN & GRISTLE          ,0.22,0.22,0.22,,,,0.1,0.1,0.1,,
7641110042402256,HIC - KOLOA              ,0.12,0.12,0.12,0.05,,,0.13,0.12,0.13,0.11,
7641110042402268,SHIU CHIROPRACTIC KINESIO,0.33,,0.33,,,,0.11,0.11,0.11,,
7641110042402284,KAZUMA SURFBOARDS HAWAII ,0.31,0.31,0.31,,,,0.1,0.1,0.1,,
7641110042402288,CROWN SHOES              ,0.77,0.77,0.77,,,,0.18,0.23,0.18,,
7641110042402289,OUT THE DOOR             ,0.04,,0.04,,,,0.09,0.09,0.09,,
7641110042402292,THE SLANTED DOOR         ,0.04,,0.04,,,,0.09,0.09,0.09,,
7641110042402298,TOM'S PLACE #1           ,0.06,0.06,0.06,,,,0.1,0.08,0.1,,
7641110042402305,TIRES BY WEB INC.        ,0.07,,0.07,,,,0.13,0.13,0.13,,
7641110042402310,PACIFIC HEALTH FOODS     ,0.01,0.01,0.01,,0.02,,0.13,0.13,0.13,,0.18
7641110042402334,RIVER CITY BICYCLES OUTLE,0.11,0.11,0.11,0.01,,,0.21,0.16,0.21,0.18,
7641110042402337,SARGENT'S FINE JEWELRY   ,0.12,0.12,0.12,,,,0.1,0.1,0.1,,
7641110042402338,SARGENT'S FINE ART       ,0.12,0.12,0.12,,,,0.1,0.1,0.1,,
7641110042402340,CREATIVE FURNITURE OUTLET,0.18,0.18,0.18,0.18,,,0.11,0.11,0.11,0.11,
7641110042402341,PINA'S BISTRO            ,0.22,,0.22,,,,0.13,0.08,0.13,,
7641110042402343,SHADES OF MAUI           ,0.11,0.11,0.11,0.02,,,0.11,0.08,0.11,0.11,
7641110042402360,"PASO ROBLES SAFE & LOCK, ",0.67,0.67,0.67,,,,,0.13,,,
7641110042402404,AUTOWORKS - AUTOSPORTS LT,0.17,0.17,0.17,0.17,,,0.13,0.13,0.13,0.11,
7641110042402405,FLY SOUTH                ,0.27,0.27,0.27,,,,0.23,0.23,0.23,,
7641110042402407,THE ROYAL ROOSTER        ,0.32,0.32,0.32,,,,0.23,0.23,0.23,,
7641110042402416,GREGORY ALEXANDER DDS PC ,0.47,0.47,0.47,,,,0.13,0.13,0.13,,
7641110042402426,TWIN PEAKS CONFERENCE CEN,0.19,0.19,0.19,,,,0.15,0.15,0.15,,
7641110042402427,UPPER ROOM BOOKSTORE     ,0.19,0.19,0.19,,,,0.15,0.15,0.15,,
7641110042402433,MARKET FRESH GRILL CAFE  ,0.11,0.11,0.11,,,,0.11,0.08,0.11,,
7641110042402434,THISTLE                  ,0.22,0.22,0.22,,,,0.1,0.1,0.1,,
7641110042402454,SAND PEOPLE - 009        ,0.17,,0.17,0.05,,,0.17,0.12,0.17,0.14,
7641110042402469,ISLAND WATER SPORTS HAWAI,0.1,0.1,0.1,,,,0.13,0.13,0.13,,
7641110042402479,SANTA BARBARA BREWHOUSE  ,0.02,0.02,0.02,,,,0.1,0.1,0.1,,
7641110042402485,"MATTHEW C. TURAY, DMD    ",0.97,0.97,0.97,,,,0.13,0.13,0.13,,
7641110042402501,CHIROFIT                 ,1.22,1.27,1.22,,,,0.03,0.13,0.03,,
7641110042402511,OLIO E LIMONE RISTORANTE ,0.09,,0.09,,,,0.08,0.08,0.08,,
7641110042402512,OLIO PIZZERIA            ,0.09,,0.09,,,,0.08,0.08,0.08,,
7641110042402515,DIAMOND HEAD MEMORIAL PAR,0.12,,0.12,,,,0.11,0.11,0.11,,
7641110042402516,NUUANU MEMORIAL PARK     ,0.12,,0.12,,,,0.11,0.11,0.11,,
7641110042402517,NUUANU MEM PARK & MRTY   ,0.12,,0.12,,,,0.11,0.11,0.11,,
7641110042402531,RONALD T. KRAUSE D.D.S.  ,0.21,0.21,0.21,,,,0.1,0.2,0.1,,
7641110042402535,ALTITUDE                 ,0.32,0.37,0.32,,,,0.03,0.08,0.03,,
7641110042402545,FANATICS ATHLETIC CLUB   ,0.31,,0.31,,,,,0.08,,,
7641110042402557,LESLIE'S FAMILY FUNWEAR  ,0.72,0.77,0.72,,,,0.13,0.08,0.13,,
7641110042402572,ROSIE'S LUNCH TO YOU     ,0.22,0.22,0.22,0.02,,,0.18,0.18,0.18,0.18,
7641110042402577,"MAX MOTORS, LLC          ",0.42,0.42,0.42,0.22,,,0.13,0.13,0.13,0.15,
7641110042402578,CHRISTOPHER J BRECKE DDS ,0.56,0.56,0.56,0.02,,,0.13,0.13,0.13,0.13,
7641110042402606,MILANO BOUTIQUE          ,0.27,0.27,0.27,,,,0.18,0.18,0.18,,
7641110042402608,MARTY'S SPORTS BAR       ,0.21,0.52,0.21,,,,0.11,0.11,0.11,,
7641110042402630,SUNSET ORAL & MAXILLOFACI,0.3,0.3,0.3,0.02,,,0.13,0.13,0.13,0.13,
7641110042402636,JV TIRES                 ,0.14,0.14,0.14,,,,0.13,0.13,0.13,,
7641110042402638,BUSH FAMILY CHIROPRACTIC ,1.33,1.38,1.33,,,,0.12,0.22,0.12,,
7641110042402642,MARK T. WEISER DDS       ,0.1,0.1,0.1,,,,,0.08,,,
7641110042402653,GREGORY A WILLIAMS DMD PC,0.31,0.31,0.31,,,,0.13,0.13,0.13,,
7641110042402660,KIHEI AUTOMOTIVE         ,0.17,0.17,0.17,,,,0.03,0.03,0.03,,
7641110042402690,HARLEY-DAVIDSON OF FREDER,0.12,,0.12,,,,0.1,0.1,0.1,,
7641110042402691,HARLEY-DAVIDSON OF WILLIA,0.12,0.12,0.12,,,,0.1,0.1,0.1,,
7641110042402695,"ANTICA FURNISHINGS, INC. ",0.27,,0.27,,,,,0.13,,,
7641110042402704,VENDETTA                 ,0.1,0.1,0.1,,,,0.11,0.11,0.11,,
7641110042402711,SKYLINE ECO-ADVENTURES   ,0.09,0.09,0.09,,,,0.1,0.08,0.1,,
7641110042402743,"HOWARD R JARVIS DMD, LLC ",0.37,0.37,0.37,0.02,,,0.13,0.13,0.13,0.28,
7641110042402749,"BACON UNIVERSAL CO, INC  ",0.05,,0.05,,,,0.21,0.21,0.21,,
7641110042402750,BACON UNIVERSAL - KONA   ,0.05,,0.05,,,,0.21,0.21,0.21,,
7641110042402751,BACON UNIVERSAL - MAUI   ,0.05,,0.05,,,,0.21,0.21,0.21,,
7641110042402753,BACON UNIVERSAL - HILO   ,0.05,,0.05,,,,0.21,0.21,0.21,,
7641110042402754,BACON UNIVERSAL - KAUAI  ,0.05,,0.05,,,,0.21,0.21,0.21,,
7641110042402755,CENTURY DENTAL           ,0.37,0.37,0.37,,,,0.13,0.13,0.13,,
7641110042402760,THE CHERRY CO. LTD       ,0.22,0.22,0.22,,,,,0.13,,,
7641110042402766,MAUI DIVE SHOP           ,0.01,,0.01,,,,0.06,0.08,0.06,,
7641110042402774,STUMPTOWN COFFEE ROASTERS,0.16,,0.16,,,,0.1,0.13,0.1,,
7641110042402787,MONKEY BUSINESS CAFE     ,0.27,0.27,0.27,,,,0.13,0.08,0.13,,
7641110042402788,THE BYE & BYE            ,0.26,0.26,0.26,,,,0.1,0.1,0.1,,
7641110042402790,"TIGARD FAMILY DENTAL, PC ",0.31,0.31,0.31,0.02,,,0.13,0.13,0.13,0.13,
7641110042402811,"ELIZABETH H, THE ART OF H",0.22,0.22,0.22,,,,0.11,0.11,0.11,,
7641110042402814,BOGNER SHEET METAL       ,0.31,0.31,0.31,,,,0.08,0.18,0.08,,
7641110042402815,JOHN D KLOUCEK DMD       ,0.61,0.61,0.61,,,,0.13,0.13,0.13,,
7641110042402816,OUTRIGGER CANOE CLUB     ,0.22,0.22,0.22,0.02,,,0.11,0.11,0.11,0.28,
7641110042402837,A SPECIAL TOUCH          ,0.27,0.27,0.27,,,,0.11,0.11,0.11,,
7641110042402838,CHUCK'S WATERFRONT GRILL ,0.12,0.12,0.12,,,,0.13,0.18,0.13,,
7641110042402849,SWEET HEREAFTER          ,0.26,0.26,0.26,,,,0.1,0.1,0.1,,
7641110042402854,"DODO MORTUARY, INC.      ",0.12,,0.12,,,,,0.11,,,
7641110042402855,"DODO MORTUARY, INC - KONA",0.12,0.12,0.12,,,,,,,,
7641110042402856,GENESIS MEDICAL AND RECOV,0.32,0.32,0.32,,,,0.13,0.13,0.13,,
7641110042402857,TILE ENCOUNTERS          ,0.23,0.23,0.23,,,,0.17,0.12,0.17,,
7641110042402864,C & R CARPETS & RUGS     ,0.23,0.23,0.23,,,,0.05,0.12,0.05,,
7641110042402871,PORCH LIGHT              ,0.32,,0.32,0.37,,,0.11,0.21,0.11,,
7641110042402872,ROBERT L. EMARD CHIROPRAC,1.89,1.89,1.89,,,,0.15,0.15,0.15,,
7641110042402893,HUNTINGTON BEACH CHRYSLER,0.05,,0.05,0.02,,,,0.08,,,
7641110042402900,HAYASHIDA & ASSOCIATES PH,0.22,0.22,0.22,,,,0.13,0.13,0.13,,
7641110042402908,VALLEY ISLE SCREEN       ,0.42,0.42,0.42,,,,0.13,0.13,0.13,,
7641110042402919,KIHEI KAI NANI RENTALS   ,0.32,,0.32,,,,0.11,0.11,0.11,,
7641110042402926,FOSS UPHOLSTERY          ,0.37,0.37,0.37,,,,0.11,0.11,0.11,,
7641110042402928,THE FIX                  ,0.27,0.27,0.27,,,,,,,,
7641110042402946,RUM CLUB                 ,0.14,0.14,0.14,,,,0.08,0.08,0.08,,
7641110042402953,LAGUNA SUPPLY            ,0.18,0.18,0.18,,,,0.11,0.11,0.11,,
7641110042402955,KANTORS FURNITURE        ,0.05,0.05,0.05,0.05,,,0.11,0.13,0.11,0.11,
7641110042402956,DISTRICT WINE            ,0.27,0.27,0.27,,,,0.11,0.18,0.11,,
7641110042402957,FOUNDERS VETERINARY CLINI,0.07,0.07,0.07,,,,0.12,0.12,0.12,,
7641110042402966,KIMO'S SURF HUT          ,0.22,0.22,0.22,0.02,,,0.11,0.11,0.11,0.13,
7641110042402968,PETE'S ROAD SERVICE - FUL,0.09,,0.09,0.02,,,0.09,0.08,0.09,0.08,
7641110042402969,PETE'S ROAD SERVICE - VIC,0.09,,0.09,0.02,,,0.09,0.08,0.09,0.08,
7641110042402970,PETE'S ROAD SERVICE - COA,0.09,,0.09,0.02,,,0.09,0.08,0.09,0.08,
7641110042402971,PETE'S ROAD SERVICE - FON,0.09,,0.09,0.02,,,0.09,0.08,0.09,0.08,
7641110042402973,PETE'S ROAD SERVICE - SAN,0.09,,0.09,0.02,,,0.09,0.08,0.09,0.08,
7641110042402974,PETE'S ROAD SERVICE - ESC,0.09,,0.09,0.02,,,0.09,0.08,0.09,0.08,
7641110042402975,PETE'S ROAD SERVICE - GAR,0.09,,0.09,0.02,,,0.09,0.08,0.09,0.08,
7641110042402976,PETE'S ROAD SERVICE - COR,0.09,,0.09,0.02,,,0.09,0.08,0.09,0.08,
7641110042402977,TOOLFARM.COM             ,0.27,,0.27,,,,0.13,0.13,0.13,,
7641110042402989,LEXUS OF WESMINSTER      ,0.04,,0.04,0.04,,,,0.08,,0.11,
7641110042402994,SPYDERSURF.COM           ,0.12,0.12,0.12,,,,0.13,0.23,0.13,,
7641110042402999,SUNSHINE HELICOPTERS INC ,0.09,,0.09,,,,0.11,0.11,0.11,,
7641110042403011,"KAMRAN AND COMPANY, INC. ",0.52,,0.52,,,,0.11,0.11,0.11,,
7641110042403022,YAMHILL VALLEY DRY GOODS ,0.22,0.22,0.22,0.02,,,0.1,0.1,0.1,0.1,
7641110042403026,WAIKIKI SAND VILLA HOTEL ,0.12,0.12,0.12,,,,0.13,0.13,0.13,,
7641110042403029,PURE ELEMENTS - SEALOHA D,0.27,0.27,0.27,,,,0.23,0.23,0.23,,
7641110042403030,SAVAGE WHOLESALE         ,0.27,0.27,0.27,,,,0.11,0.11,0.11,,
7641110042403077,OUR PLACE                ,0.1,0.1,0.1,,,,0.15,0.15,0.15,,
7641110042403083,KAUAI MEMORIAL GARDENS   ,0.22,0.22,0.22,,,,0.11,0.11,0.11,,
7641110042403133,YOUR CHOICE RESTAURANT   ,0.12,0.12,0.12,,,,0.03,0.08,0.03,,
7641110042403137,ACKERMAN'S SERVICING VOLV,0.17,0.17,0.17,0.17,,,0.11,0.13,0.11,0.15,
7641110042403171,RED RIDGE FARMS          ,0.61,0.61,0.61,,,,0.13,0.13,0.13,,
7641110042403177,MIRA BELLA SALON & SPA   ,0.12,,0.12,,,,0.13,0.13,0.13,,
7641110042403178,RESTAURANT CONNECTION    ,0.27,0.27,0.27,,,,,0.13,,,
7641110042403196,MAKAWAO GARDEN CAFE      ,0.2,0.2,0.2,,,,0.11,0.21,0.11,,
7641110042403197,KAHULUI ALE HOUSE        ,0.03,0.03,0.03,,,,0.03,0.07,0.03,,
7641110042403210,ENVELOPMENTS             ,0.1,,0.1,,,,,0.13,,,
7641110042403214,BARNETT & DYER PROSTHODON,0.37,0.37,0.37,,,,0.13,0.13,0.13,,
7641110042403230,CHARLES NII NURSERY      ,0.27,0.27,0.27,,,,0.13,0.13,0.13,,
7641110042403231,KELSEYVILLE AUTO SALVAGE ,0.52,0.52,0.52,,,,0.13,0.13,0.13,,
7641110042403254,COMFORT INN & SUITES     ,0.21,,0.21,,,,,0.08,,,
7641110042403255,ELMWOOD VILLAGE SHOES    ,0.27,0.27,0.27,0.27,,,0.11,0.13,0.11,0.11,
7641110042403256,LOS OLIVOS WINE MERCHANT ,0.12,0.12,0.12,,,,0.11,0.13,0.11,,
7641110042403260,LONGBOTTOM COFFEE & TEA  ,0.19,0.19,0.19,,,,0.11,0.11,0.11,,
7641110042403261,LONGBOTTOM COFFEE & TEA -,0.19,,0.19,,,,0.11,0.11,0.11,,
7641110042403268,MORNINGSTAR RESTAURANT   ,0.32,0.32,0.32,,,,0.13,0.13,0.13,,
7641110042403269,WIND RIVER CASINO HOTEL  ,0.32,0.32,0.32,,,,0.13,0.13,0.13,,
7641110042403270,WIND RIVER HOTEL GIFT SHO,0.32,0.32,0.32,,,,0.13,0.13,0.13,,
7641110042403273,RED WILLOW RESTAURANT    ,0.32,0.32,0.32,,,,0.13,0.13,0.13,,
7641110042403275,WIND RIVER CASINO - CUSTO,0.32,0.32,0.32,,,,0.13,0.13,0.13,,
7641110042403298,RERACK                   ,0.21,0.21,0.21,,,,0.13,0.13,0.13,,
7641110042403302,HIC - MAUI MALL          ,0.12,0.12,0.12,0.05,,,0.13,0.12,0.13,0.11,
7641110042403304,ANCHORAGE INN            ,0.1,0.1,0.1,,,,0.08,0.08,0.08,,
7641110042403312,ROSA'S ITALIAN RESTAURANT,0.12,0.12,0.12,,,,0.13,0.13,0.13,,
7641110042403336,MAUI HANDS               ,0.16,0.16,0.16,,,,0.13,0.08,0.13,,
7641110042403341,WINKS HARDWARE           ,0.41,0.41,0.41,,,,0.14,0.14,0.14,,
7641110042403342,THE PENCIL TEST          ,0.32,0.32,0.32,,,,0.13,0.13,0.13,,
7641110042403349,BEST WESTERN PECOS INN   ,0.24,,0.24,,,,,0.08,,,
7641110042403356,NAPILI SURF BEACH RESORT ,0.22,,0.22,,,,0.13,0.13,0.13,,
7641110042403369,FERNS NUTRITION CENTER IN,0.12,,0.12,,,,0.13,0.13,0.13,,
7641110042403375,NOODLE THEORY            ,0.07,,0.07,,,,0.1,0.1,0.1,,
7641110042403376,VIKING PRESS             ,0.44,0.49,0.44,,,,0.23,0.33,0.23,,
7641110042403390,THE WOODEN FLOOR         ,0.92,0.92,0.92,,,,0.2,0.15,0.2,,
7641110042403402,PORKY'S PIZZA            ,0.12,0.12,0.12,,,,0.1,0.08,0.1,,
7641110042403422,BOWS AND ARROWS          ,0.17,0.17,0.17,0.17,,,0.13,0.13,0.13,0.13,
7641110042403426,MOSS & DAUGHTERS         ,0.32,,0.32,,,,0.23,0.23,0.23,,
7641110042403433,MAUI OCEAN ARTS          ,0.37,,0.37,,,,0.11,0.11,0.11,,
7641110042403435,MOTHER HUBBARDS RESTAURAN,0.12,0.12,0.12,,,,0.11,0.13,0.11,,
7641110042403444,808 SKATE                ,0.12,0.12,0.12,,,,0.13,0.13,0.13,,
7641110042403474,PRECISION MOTOR CAR      ,0.17,0.17,0.17,0.17,,,0.13,0.13,0.13,0.13,
7641110042403476,THE V SHOP               ,0.37,0.37,0.37,,,,0.13,0.13,0.13,,
7641110042403482,MCPEET'S PORTLAND PUB    ,0.17,0.17,0.17,,,,0.11,0.11,0.11,,
7641110042403488,SKY'S THE LIMIT BALLOONIN,0.1,0.1,0.1,,,,0.11,0.11,0.11,,
7641110042403496,CREMATION SVCS. OF W. HI ,0.12,,0.12,,,,,0.11,,,
7641110042403512,MIGRATION BREWING        ,0.22,0.22,0.22,,,,0.11,0.11,0.11,,
7641110042403523,BON BIJOUX GIRLY BOUTIQUE,0.09,0.09,0.09,,,,0.13,0.08,0.13,,
7641110042403550,PACIFIC PAWS PET SALON   ,0.12,0.12,0.12,0.05,,,0.13,0.23,0.13,0.18,
7641110042403559,DUNCAN'S AUTO SERVICE    ,0.17,0.17,0.17,,,,0.13,0.13,0.13,,
7641110042403569,THE MEADOWS              ,0.87,0.87,0.87,,,,,,,,
7641110042403573,HUDSON AND JANE          ,0.02,,0.02,,,,0.1,0.1,0.1,,
7641110042403592,FUSION HAIR STUDIO       ,0.22,0.22,0.22,,,,0.13,0.13,0.13,,
7641110042403595,BUTLER HEALTH & BEAUTY   ,0.22,0.22,0.22,,,,0.13,0.13,0.13,,
7641110042403596,MEG'S DESIGNS            ,0.22,0.22,0.22,,,,0.13,0.13,0.13,,
7641110042403609,BOLLYWOOD THEATER        ,0.09,0.09,0.09,,,,0.13,0.13,0.13,,
7641110042403611,MY FIRST PEEKABOO ULTRASO,0.27,0.27,0.27,,,,0.11,0.11,0.11,,
7641110042403612,MY FIRST PEEKABOO ULTRASO,0.27,0.27,0.27,,,,0.11,0.11,0.11,,
7641110042403618,ARTESIA INN              ,0.24,0.24,0.24,,,,,0.08,,,
7641110042403640,SANTA YNEZ FEED & MILLING,0.1,0.1,0.1,,,,0.08,0.08,0.08,,
7641110042403641,SAGE OF SANTA YNEZ       ,0.1,0.1,0.1,,,,0.08,0.08,0.08,,
7641110042403642,TUMBLEWEEDS CLOTHING     ,0.1,0.1,0.1,,,,0.08,0.08,0.08,,
7641110042403644,EASTMORELAND GC BAR & GRI,0.12,,0.12,,,,0.11,0.11,0.11,,
7641110042403645,EASTMORELAND GOLF COURSE ,0.12,,0.12,,,,0.11,0.11,0.11,,
7641110042403646,DAVID C KREUTZER DMD PC  ,0.27,0.27,0.27,,,,0.13,0.13,0.13,,
7641110042403664,BELLANICO                ,0.08,0.08,0.08,,,,0.11,0.08,0.11,,
7641110042403675,"COMMUNION, LLC           ",0.17,0.17,0.17,,,,0.13,0.13,0.13,,
7641110042403708,NVA SPORTS ASSOCIATION   ,2.01,2.01,2.01,,,,0.18,0.18,0.18,,
7641110042403710,POTHOLDER CAFE TOO       ,0.02,0.02,0.02,,,,0.075,0.075,0.075,,
7641110042403716,BLACK MOUNTAIN EMBROIDERY,0.32,,0.32,,,,0.13,0.13,0.13,,
7641110042403724,PEDIATRIC DENTAL GROUP   ,0.37,,0.37,,,,0.13,0.13,0.13,,
7641110042403729,PHO MY VI                ,0.22,0.22,0.22,,,,0.11,0.11,0.11,,
7641110042403733,GOLETA BUILDING MATERIALS,0.2,,0.2,0.02,,,0.13,0.13,0.13,0.28,
7641110042403745,NU IMAGE NOW DR LUM      ,0.26,0.26,0.26,,,,0.23,0.23,0.23,,
7641110042403746,WILLOW ROCK PET HOSPITAL ,0.12,0.12,0.12,0.02,,,0.11,0.11,0.11,0.21,
7641110042403748,MOENA CAFE               ,0.07,0.07,0.07,,,,0.1,0.1,0.1,,
7641110042403751,789 SMOKE SHOP - C STORE ,0.32,0.32,0.32,0.32,0.32,,0.13,0.13,0.13,0.18,0.18
7641110042403777,"DENTISTRY FOR CHILDREN, P",0.22,0.22,0.22,,,,0.13,0.13,0.13,,
7641110042403795,THE CREATION STATION     ,0.77,0.77,0.77,,,,0.13,0.28,0.13,,
7641110042403800,ENVELOPMENTS ONLINE      ,0.1,,0.1,,,,,0.13,,,
